,time,speed,x_coordinate,y_coordinate
0,0.22335171699523926,0.020748220077807817,-10.000069618225098,-1309.004638671875
1,0.2732069492340088,0.11971480864013183,-10.000102996826172,-1309.0118408203125
2,0.3170890808105469,0.1975491340485749,-10.000130653381348,-1309.02783203125
3,0.3569827079772949,0.24862358456502542,-10.000142097473145,-1309.05029296875
4,0.3978731632232666,0.31695771750308055,-10.00013542175293,-1309.07861328125
5,0.4367692470550537,0.3859199606066909,-10.000094413757324,-1309.1141357421875
6,0.4726738929748535,0.4445719862921789,-10.000144004821777,-1309.151123046875
7,0.5025932788848877,0.5381721887513733,-10.000178337097168,-1309.186279296875
8,0.5337707996368408,0.5939562688991661,-10.000076293945312,-1309.219482421875
9,0.5646870136260986,0.6495121302031479,-9.999983787536621,-1309.24951171875
10,0.5966486930847168,0.6839514936146759,-10.000078201293945,-1309.2781982421875
11,0.6296260356903076,0.7261444569205997,-10.000199317932129,-1309.3062744140625
12,0.6625847816467285,0.7722677856242405,-10.000199317932129,-1309.333984375
13,0.6965553760528564,0.7924361788884826,-10.000136375427246,-1309.362060546875
14,0.7305655479431152,0.8287100614804571,-9.999992370605469,-1309.390380859375
15,0.7654707431793213,0.8498181428879883,-9.999987602233887,-1309.4197998046875
16,0.7979083061218262,0.8881948139630387,-10.000120162963867,-1309.44921875
17,0.8297469615936279,0.9124202363080663,-10.000185012817383,-1309.4794921875
18,0.861717700958252,0.9429959711692427,-10.000110626220703,-1309.510498046875
19,0.8959853649139404,0.9586505821274559,-9.99998664855957,-1309.5418701171875
20,0.9293670654296875,0.9934156809829109,-10.000018119812012,-1309.5745849609375
21,0.962256908416748,1.0158309081489059,-10.000131607055664,-1309.6083984375
22,0.9952132701873779,1.0449976186345453,-10.000157356262207,-1309.6429443359375
23,1.028792142868042,1.0597319479220377,-10.000053405761719,-1309.6781005859375
24,1.060807228088379,1.0942106610014257,-10.00002670288086,-1309.713623046875
25,1.0948221683502197,1.109012576065879,-10.000055313110352,-1309.75048828125
26,1.1299331188201904,1.1347603911095336,-10.00007152557373,-1309.78759765625
27,1.1649284362792969,1.1503582707492892,-10.000015258789062,-1309.8262939453125
28,1.199915885925293,1.1782362483964228,-10.000021934509277,-1309.8660888671875
29,1.2358903884887695,1.204296340297966,-10.000032424926758,-1309.906494140625
30,1.2696707248687744,1.2153571046636114,-10.000017166137695,-1309.94873046875
31,1.3028504848480225,1.2458386040453493,-10.000048637390137,-1309.9912109375
32,1.337630271911621,1.266925097160742,-10.000083923339844,-1310.03369140625
33,1.3723604679107666,1.275476049589862,-10.000027656555176,-1310.0775146484375
34,1.4079594612121582,1.3031269227635367,-10.000009536743164,-1310.1220703125
35,1.463879108428955,1.3185919525733325,-10.00001335144043,-1310.19091796875
36,1.4979190826416016,1.3474881793975069,-10.000015258789062,-1310.23876953125
37,1.529932975769043,1.364795778395704,-10.00003719329834,-1310.286865234375
38,1.5648632049560547,1.3704236925082895,-10.000007629394531,-1310.3333740234375
39,1.6002633571624756,1.3990768258412738,-9.999969482421875,-1310.3812255859375
40,1.6352722644805908,1.416451222741735,-9.999940872192383,-1310.4296875
41,1.6686875820159912,1.4230862312167234,-9.999934196472168,-1310.4783935546875
42,1.704164981842041,1.4396609224402457,-9.999956130981445,-1310.52783203125
43,1.7391481399536133,1.4466137466686981,-9.999947547912598,-1310.5784912109375
44,1.774132251739502,1.4683168088133502,-9.999959945678711,-1310.6295166015625
45,1.8081815242767334,1.4856917365563744,-9.999951362609863,-1310.680419921875
46,1.8444914817810059,1.4874779424217455,-9.999950408935547,-1310.7315673828125
47,1.8782787322998047,1.50774768655486,-9.99996280670166,-1310.784912109375
48,1.912238359451294,1.5141313677455845,-9.999924659729004,-1310.8380126953125
49,1.9481470584869385,1.5330701290291788,-9.999922752380371,-1310.8905029296875
50,1.983229637145996,1.5497486290634797,-9.999897956848145,-1310.9434814453125
51,2.018127918243408,1.5476868172905032,-9.999897956848145,-1310.99755859375
52,2.0550293922424316,1.5635660696624387,-9.99991512298584,-1311.052978515625
53,2.090198040008545,1.5673753246251418,-9.9998779296875,-1311.107177734375
54,2.1221120357513428,1.5917944830081898,-9.99988842010498,-1311.162353515625
55,2.1570632457733154,1.6038110888032309,-9.99985122680664,-1311.2181396484375
56,2.1938185691833496,1.6067717084768711,-9.99984073638916,-1311.2740478515625
57,2.227165460586548,1.61714867749712,-9.999834060668945,-1311.331298828125
58,2.2621452808380127,1.6150632217691285,-9.999788284301758,-1311.38720703125
59,2.297412633895874,1.6333215308268794,-9.999795913696289,-1311.4443359375
60,2.3313910961151123,1.6356609602941983,-9.999734878540039,-1311.5009765625
61,2.3652842044830322,1.6572228668964037,-9.999777793884277,-1311.5577392578125
62,2.400186061859131,1.6616105237788517,-9.999763488769531,-1311.6148681640625
63,2.435187339782715,1.6669941750675767,-9.999756813049316,-1311.6719970703125
64,2.4692065715789795,1.6803732466825638,-9.999724388122559,-1311.729736328125
65,2.5028223991394043,1.676584728568991,-9.999696731567383,-1311.78759765625
66,2.537820339202881,1.6872078094793734,-9.999740600585938,-1311.8458251953125
67,2.572295665740967,1.6899012969517921,-9.999707221984863,-1311.905029296875
68,2.6067357063293457,1.7084316868549305,-9.999730110168457,-1311.9637451171875
69,2.645742893218994,1.7048826840385038,-9.999637603759766,-1312.022705078125
70,2.6769485473632812,1.72600191997048,-9.999664306640625,-1312.0833740234375
71,2.710972309112549,1.7208285852197145,-9.999608039855957,-1312.142822265625
72,2.744969129562378,1.730435135364437,-9.999608993530273,-1312.201416015625
73,2.7821264266967773,1.7387976570319845,-9.999591827392578,-1312.2613525390625
74,2.8151626586914062,1.737147775912953,-9.999589920043945,-1312.3211669921875
75,2.850069522857666,1.751867796823673,-9.999643325805664,-1312.38232421875
76,2.884976387023926,1.746563667926339,-9.999624252319336,-1312.4425048828125
77,2.919602394104004,1.762430411930047,-9.999673843383789,-1312.503173828125
78,2.9529290199279785,1.7575554423497908,-9.99960994720459,-1312.5638427734375
79,2.9888768196105957,1.7728346700424356,-9.999665260314941,-1312.624755859375
80,3.022179126739502,1.7712977308635354,-9.999610900878906,-1312.6859130859375
81,3.060162305831909,1.786739851590998,-9.999662399291992,-1312.7471923828125
82,3.0941672325134277,1.7836719808766863,-9.99963665008545,-1312.8114013671875
83,3.1273624897003174,1.7961920057225702,-9.99965763092041,-1312.8739013671875
84,3.1613993644714355,1.7901796782966026,-9.999635696411133,-1312.935791015625
85,3.1975533962249756,1.8056156036710203,-9.999690055847168,-1312.9967041015625
86,3.2324907779693604,1.801350084736846,-9.999713897705078,-1313.0599365234375
87,3.2662038803100586,1.8125738399365623,-9.999713897705078,-1313.1221923828125
88,3.3011109828948975,1.8109798554266228,-9.999678611755371,-1313.184814453125
89,3.3385233879089355,1.8185400679918788,-9.999673843383789,-1313.248291015625
90,3.371527671813965,1.8203936230891966,-9.99968433380127,-1313.3121337890625
91,3.405535936355591,1.8254652681968029,-9.999707221984863,-1313.375
92,3.4408061504364014,1.8310426268105693,-9.99973201751709,-1313.438232421875
93,3.474402904510498,1.8326379152358714,-9.999772071838379,-1313.5013427734375
94,3.5111429691314697,1.840514079467495,-9.999829292297363,-1313.5657958984375
95,3.544039011001587,1.8416431789998355,-9.99985122680664,-1313.631103515625
96,3.5800483226776123,1.8487369346297946,-9.99985122680664,-1313.69580078125
97,3.6151926517486572,1.8504560091546924,-9.999820709228516,-1313.759521484375
98,3.6494064331054688,1.8572216010258982,-9.999828338623047,-1313.824462890625
99,3.683405637741089,1.858451423065903,-9.999850273132324,-1313.8885498046875
100,3.717315435409546,1.866079267946106,-9.999897003173828,-1313.952880859375
101,3.7526967525482178,1.8670099629143404,-9.999906539916992,-1314.0172119140625
102,3.787748336791992,1.8729164200837742,-9.99992561340332,-1314.082763671875
103,3.823030471801758,1.8750884679480586,-9.999926567077637,-1314.147216796875
104,3.8570058345794678,1.8799945173822805,-9.999961853027344,-1314.2120361328125
105,3.8934085369110107,1.8818701601252017,-9.999979019165039,-1314.27783203125
106,3.926561117172241,1.8864894255501614,-10.000017166137695,-1314.3448486328125
107,3.9615418910980225,1.8891711819688712,-10.000038146972656,-1314.409912109375
108,3.996596574783325,1.8931454430838315,-10.0000638961792,-1314.4752197265625
109,4.032657146453857,1.896049833729018,-10.000082969665527,-1314.5413818359375
110,4.066641569137573,1.8976981835911761,-10.000100135803223,-1314.60791015625
111,4.102365016937256,1.90195932973525,-10.000127792358398,-1314.67431640625
112,4.137342214584351,1.9027850567634075,-10.000161170959473,-1314.740966796875
113,4.171186447143555,1.908043030430956,-10.000200271606445,-1314.8076171875
114,4.206071853637695,1.9092287859523591,-10.000212669372559,-1314.87353515625
115,4.244389772415161,1.9153057274569363,-10.000232696533203,-1314.9404296875
116,4.276431322097778,1.9145098307707278,-10.000255584716797,-1315.008544921875
117,4.313308954238892,1.922607844248649,-10.000307083129883,-1315.07568359375
118,4.347404956817627,1.9189837641925471,-10.000316619873047,-1315.14306640625
119,4.383033275604248,1.928884872696348,-10.000374794006348,-1315.21142578125
120,4.416942834854126,1.9254930444332274,-10.000396728515625,-1315.2789306640625
121,4.452100038528442,1.9356124675906585,-10.00046157836914,-1315.3465576171875
122,4.487069129943848,1.9325282278066562,-10.000480651855469,-1315.413330078125
123,4.521648406982422,1.9423171879009373,-10.00053596496582,-1315.4810791015625
124,4.559391498565674,1.9398813527775272,-10.000553131103516,-1315.5489501953125
125,4.59613823890686,1.9482144052182877,-10.000601768493652,-1315.617919921875
126,4.628503799438477,1.944352740538168,-10.000638008117676,-1315.68603515625
127,4.662379741668701,1.952825398407445,-10.000736236572266,-1315.7542724609375
128,4.697404146194458,1.9510139130322632,-10.000786781311035,-1315.822509765625
129,4.732658624649048,1.9586957710597166,-10.000839233398438,-1315.8909912109375
130,4.765830993652344,1.955311874324753,-10.0008544921875,-1315.9583740234375
131,4.800394296646118,1.9607106270888695,-10.000908851623535,-1316.02587890625
132,4.83617377281189,1.9595591813158195,-10.000948905944824,-1316.0933837890625
133,4.869848728179932,1.9643866162239556,-10.000996589660645,-1316.1611328125
134,4.904823064804077,1.9657785074551746,-10.001041412353516,-1316.2298583984375
135,4.938842296600342,1.9676157540007275,-10.00109577178955,-1316.2977294921875
136,4.976101398468018,1.9699778242932915,-10.001174926757812,-1316.3656005859375
