,time,speed,x_coordinate,y_coordinate
0,0.2047410011291504,0.027951078509764107,-10.000054359436035,-1309.0045166015625
1,0.25644850730895996,0.11980854119989832,-10.000125885009766,-1309.0118408203125
2,0.3152909278869629,0.22211512984215853,-10.000161170959473,-1309.0382080078125
3,0.3599083423614502,0.2792461380040878,-10.000107765197754,-1309.0628662109375
4,0.4007861614227295,0.35618197112025723,-10.000100135803223,-1309.094482421875
5,0.4566361904144287,0.4393938571596121,-10.000137329101562,-1309.1497802734375
6,0.4865591526031494,0.5328839492070067,-10.000170707702637,-1309.1845703125
7,0.517371416091919,0.5914191668649597,-10.000076293945312,-1309.2177734375
8,0.5492861270904541,0.6466280107499005,-9.999951362609863,-1309.248291015625
9,0.5816895961761475,0.6801752873762396,-10.000011444091797,-1309.2769775390625
10,0.6136314868927002,0.722659827405409,-10.000144958496094,-1309.3050537109375
11,0.6466054916381836,0.769655451390788,-10.00016975402832,-1309.3326416015625
12,0.6796145439147949,0.7894014876345614,-10.00010871887207,-1309.360595703125
13,0.7330882549285889,0.8345450984515863,-9.999946594238281,-1309.4039306640625
14,0.7680611610412598,0.8662235892078155,-10.000045776367188,-1309.4332275390625
15,0.8000156879425049,0.9064501050511584,-10.000146865844727,-1309.4637451171875
16,0.8330116271972656,0.9239526780904694,-10.00014591217041,-1309.494873046875
17,0.8649768829345703,0.9528055390038508,-10.000020980834961,-1309.52685546875
18,0.8980081081390381,0.9725549487426686,-9.999963760375977,-1309.55908203125
19,0.9333410263061523,1.009608987759181,-10.00005054473877,-1309.5924072265625
20,0.9683449268341064,1.030070442436601,-10.00013542175293,-1309.62646484375
21,1.002218246459961,1.0503189255940928,-10.000070571899414,-1309.6619873046875
22,1.0372483730316162,1.0764318464963343,-9.999992370605469,-1309.6986083984375
23,1.072718858718872,1.1008717686781222,-10.000015258789062,-1309.73583984375
24,1.1091156005859375,1.1294738124711516,-10.000076293945312,-1309.7742919921875
25,1.1461119651794434,1.1436627958889969,-10.00002670288086,-1309.8145751953125
26,1.178523302078247,1.1771880467226712,-10.000008583068848,-1309.8546142578125
27,1.2128732204437256,1.1980763828006629,-10.00001049041748,-1309.89599609375
28,1.2481529712677002,1.2073036828545343,-9.999966621398926,-1309.9381103515625
29,1.281181812286377,1.2407482881138245,-9.999972343444824,-1309.98095703125
30,1.318195104598999,1.2584157544387136,-10.000009536743164,-1310.0245361328125
31,1.3523175716400146,1.2671603382548455,-9.999981880187988,-1310.0687255859375
32,1.3883140087127686,1.2986363112243962,-9.999977111816406,-1310.113037109375
33,1.4232206344604492,1.317989720110753,-10.000011444091797,-1310.15869140625
34,1.4599716663360596,1.324419337515166,-10.000003814697266,-1310.2042236328125
35,1.49308180809021,1.352680175233027,-9.999999046325684,-1310.25244140625
