,RMS_1,RMS_2,RMS_3,RMS_4,RMS_5,RMS_6,RMS_7,RMS_8,RMS_9,RMS_10,RMS_11,RMS_12,RMS_13,RMS_14,RMS_15,RMS_16,RMS_17,RMS_18,RMS_19,RMS_20,RMS_21,RMS_22,RMS_23,RMS_24,MAV_1,MAV_2,MAV_3,MAV_4,MAV_5,MAV_6,MAV_7,MAV_8,MAV_9,MAV_10,MAV_11,MAV_12,MAV_13,MAV_14,MAV_15,MAV_16,MAV_17,MAV_18,MAV_19,MAV_20,MAV_21,MAV_22,MAV_23,MAV_24,WL_1,WL_2,WL_3,WL_4,WL_5,WL_6,WL_7,WL_8,WL_9,WL_10,WL_11,WL_12,WL_13,WL_14,WL_15,WL_16,WL_17,WL_18,WL_19,WL_20,WL_21,WL_22,WL_23,WL_24,ZC_1,ZC_2,ZC_3,ZC_4,ZC_5,ZC_6,ZC_7,ZC_8,ZC_9,ZC_10,ZC_11,ZC_12,ZC_13,ZC_14,ZC_15,ZC_16,ZC_17,ZC_18,ZC_19,ZC_20,ZC_21,ZC_22,ZC_23,ZC_24,SSC_1,SSC_2,SSC_3,SSC_4,SSC_5,SSC_6,SSC_7,SSC_8,SSC_9,SSC_10,SSC_11,SSC_12,SSC_13,SSC_14,SSC_15,SSC_16,SSC_17,SSC_18,SSC_19,SSC_20,SSC_21,SSC_22,SSC_23,SSC_24,IAV_1,IAV_2,IAV_3,IAV_4,IAV_5,IAV_6,IAV_7,IAV_8,IAV_9,IAV_10,IAV_11,IAV_12,IAV_13,IAV_14,IAV_15,IAV_16,IAV_17,IAV_18,IAV_19,IAV_20,IAV_21,IAV_22,IAV_23,IAV_24,VAR_1,VAR_2,VAR_3,VAR_4,VAR_5,VAR_6,VAR_7,VAR_8,VAR_9,VAR_10,VAR_11,VAR_12,VAR_13,VAR_14,VAR_15,VAR_16,VAR_17,VAR_18,VAR_19,VAR_20,VAR_21,VAR_22,VAR_23,VAR_24,WAMP_1,WAMP_2,WAMP_3,WAMP_4,WAMP_5,WAMP_6,WAMP_7,WAMP_8,WAMP_9,WAMP_10,WAMP_11,WAMP_12,WAMP_13,WAMP_14,WAMP_15,WAMP_16,WAMP_17,WAMP_18,WAMP_19,WAMP_20,WAMP_21,WAMP_22,WAMP_23,WAMP_24,TRAJ_1,type,subject,trajectory,date_time,TRAJ_GT_NO_FILTER,VIDEO_STAMP,TRAJ_GT
98.46443086904407,4.733617725965037,4.6267744450635755,4.371466018480634,4.65479107100929,4.923110447525368,3.6002234162709486,5.081372354567325,4.569313001494885,4.086645896149883,4.33585540820705,4.091726476927263,3.9146893495977686,4.31525901718308,4.140761003606648,5.840677107810791,5.117948291336628,2.839083958437131,2.8032559825997283,2.6963805468087645,2.686376161032573,2.8482993646922594,3.5244494440115766,4.42578368252099,3.9267259091383315,3.198650197426963,3.118336130381941,3.0360686851418506,3.2441832788381713,3.464285256629632,2.7229852021282124,3.616555584493757,3.308866190234192,2.800982726124084,2.8807365403513727,2.791717792795165,2.737836382916,2.994701572152197,3.0167591368873232,4.3786030142620875,3.781397638607731,2.127973207050706,2.112903841963293,2.019419131042039,2.0021617727600103,2.145234769858998,2.7514793841633516,3.3799081582269688,3.005510283435645,3.1237385289225097,4.594992099590877,4.596982316254082,4.908978429658501,4.8040832419757376,-0.6238427342525128,0.967118233203677,4.116601991158129,4.000571110601855,4.224959253543789,1.7913151736835395,3.6908808691635366,2.2738692835869667,-1.0088670427061857,-2.461163897077487,0.947575024290602,4.592341162239933,2.5104018443279497,4.135355546948103,4.180790343495405,3.755170206692485,1.366200615898407,3.143847002944683,4.774755652741865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7996.625493567408,7795.840325954852,7590.171712854626,8110.458197095428,8660.71314157408,6807.463005320531,9041.388961234392,8272.16547558548,7002.456815310209,7201.8413508784315,6979.294481987912,6844.59095729,7486.7539303804915,7541.897842218308,10946.507535655219,9453.494096519327,5319.933017626765,5282.259604908233,5048.547827605097,5005.404431900026,5363.086924647496,6878.698460408379,8449.770395567422,7513.775708589112,22.406766447293577,21.40668108972718,19.109339196765852,21.666768608591042,24.236677087244495,12.96134500766504,25.819767458521515,20.878242175345907,16.700670848486943,18.79901698675029,16.74185655963429,15.324403031971507,18.62113132960083,17.144274290104043,34.108838184651866,26.188781334497733,8.060343049728434,7.8569505455898,7.26999844912551,7.216124318441392,8.112183589432348,12.421082087853314,19.586775157668274,15.41916968602971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,emg_gestures,54.0,repeats_short,2018-05-11 14:05:34.118,0.0,97.50284478789993,0.0
98.70837654296378,4.819131367621796,4.688426372535921,4.424443085110929,4.719440762800673,4.996869112210274,3.7146711661551155,5.039493109450122,4.679833251290049,4.202571354235422,4.438170505820477,4.182260232170941,3.9674665661648705,4.351422117610157,4.0857329531176125,5.167346708978765,5.5116215351868085,2.9517124406166424,2.886944992107182,2.766190406518161,2.858130059244133,2.8712004575263,3.6587413076128037,4.732745767581152,4.322021257648317,3.247523200201974,3.1478137940520576,3.0579994680976976,3.259316699611276,3.450622990911719,2.767392553700233,3.5833764034221147,3.4256830158735267,2.8636452557351073,2.9875988293138827,2.862591004635024,2.793255042863267,3.0268555843487386,2.9820667482556544,3.963507509956103,3.9700559438474317,2.1789661442282036,2.1680526410348757,2.0704295717679724,2.139068908544331,2.150225929576454,2.7508310857556815,3.4574956206699796,3.1875801067053895,9.434949012309307,10.421442436815916,9.16784522800532,7.145378466643284,7.088364471114541,4.664970630049277,6.710342987489664,7.7571277424258716,9.110949814605316,10.152919749790511,9.466303203325042,10.132161222908154,7.62278688436772,6.880983754386534,7.364176170377472,6.673864656105009,6.211472530343241,7.494803412124672,6.936795613480389,7.430677400047749,7.978372356754195,8.375026399184886,7.226305624746533,7.76413537484085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8118.808000504934,7869.534485130144,7644.998670244244,8148.291749028191,8626.557477279297,6918.481384250582,8958.441008555286,8564.207539683817,7159.113139337768,7468.997073284707,7156.47751158756,6983.137607158167,7567.138960871846,7455.1668706391365,9908.768774890257,9925.139859618579,5447.415360570509,5420.131602587189,5176.073929419931,5347.672271360827,5375.564823941135,6877.077714389204,8643.73905167495,7968.950266763473,23.223917185115777,21.981028249039202,19.574967328166544,22.27243635546833,24.968667717891243,13.798745248468974,25.396358529821427,21.900791636367416,17.66152364473545,19.6970360669678,17.491035415323235,15.740645007622108,18.934582504396552,16.693117622958237,26.70136023176948,30.3779710076169,8.71257501497813,8.334446450553672,7.651775255031808,8.168732136374084,8.24367159703273,13.385989615447086,22.398491058940422,18.679741783467087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,emg_gestures,54.0,repeats_short,2018-05-11 14:05:34.118,0.0,97.74679046181964,0.0
98.95232221688347,4.870370521495946,4.782008966076504,4.568738144365644,4.874210279497781,5.124694253898024,4.099664060143181,5.169036300218664,4.7741575812924015,4.312330726729503,4.524160926243493,4.314285025784351,4.201722689464648,4.490927831327479,4.344988934101201,5.389706941438401,5.734254490141903,3.204789524706168,3.145908106459324,3.062371200544182,3.1387101232444126,3.281303701380976,4.267176198820621,5.228406561329751,4.607729642616805,3.392807862140328,3.33065623292159,3.2473333135876326,3.4816216712783206,3.6593015850968222,3.0755988467126274,3.76741363462164,3.5702370299725525,3.0490393085243,3.1302251375833876,3.0721839969799665,3.0771975667539517,3.2050963800893095,3.242893970880228,4.146255464892514,4.232445669927986,2.4273176834174794,2.4108755229133285,2.3293661107953176,2.394625345211457,2.504226053003521,3.1599304840045863,3.950899887898248,3.5191518414947933,-9.388680695394333,-8.974523801853511,-8.87543239044791,-8.528797654448407,-9.866833613875913,-6.190136058750958,-7.173320387267934,-9.801297385726953,-9.63395165090268,-8.447118923616891,-7.236776447962977,-7.243885730843909,-8.931712077412723,-7.985312091561478,-10.767655734518522,-16.876589360105477,-7.293529831411433,-5.317490682656407,-6.345570077520629,-7.415174862369189,-5.972983391595091,-7.6275981249529785,-9.1911172897196,-8.76569381706085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8482.01965535082,8326.640582303975,8118.333283969081,8704.054178195802,9148.253962742056,7688.997116781568,9418.5340865541,8925.592574931381,7622.59827131075,7825.562843958469,7680.459992449916,7692.99391688488,8012.740950223274,8107.2349272005695,10365.638662231286,10581.114174819966,6068.294208543699,6027.188807283322,5823.415276988294,5986.563363028643,6260.565132508803,7899.826210011466,9877.24971974562,8797.879603736983,23.720161066510094,22.867427531224546,20.873368004678944,23.75785117419933,26.262431787666138,16.806922505427732,26.718465993033465,22.791255773350656,18.596189582946632,20.467733180788994,18.612942633647716,17.65436506919358,20.168432660020446,18.87866821570668,29.046589545441723,32.87887162762759,10.270623795369358,9.89589009400038,9.378020895912053,9.851338837118837,10.766919127219392,18.208758994909868,27.336094059201212,21.23115890107506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,emg_gestures,54.0,repeats_short,2018-05-11 14:05:34.118,0.0,97.99073613573934,0.0
99.19626789080318,4.934473773638088,4.8749601300692875,4.726652549687625,5.050218842626551,5.248087799928618,4.283083707872341,5.5392452793614915,4.817079317424043,4.258447753834818,4.550318382439872,4.446118122287841,4.336664680478116,4.618235778508555,4.482984943460651,5.5015915806926445,5.156657195286471,3.286401181517832,3.2610319981299503,3.251824740092066,3.286486083550274,3.44012445976023,4.42543935458771,4.8868989034326455,4.072940561570154,3.4947697056417497,3.4555350646193386,3.412315566181762,3.683607406484539,3.837167613759012,3.3242182418802506,4.1585859877037565,3.6365573522403354,3.0582008033152057,3.1799033556415726,3.256103449909352,3.234184349276751,3.3813649651418665,3.4502790362803397,4.285922012103246,3.9037140787796343,2.589138939483331,2.5785843028507167,2.5438238275223672,2.554382244792452,2.6654463937421533,3.2970659464934404,3.768225276368896,3.2323371183458685,-8.351132366168294,-9.75919811114623,-9.042226471293084,-6.056005954667592,-4.7935331795361344,-7.313494319430434,-9.927244453446027,-7.260910847545809,-8.803746126483164,-9.076036686625207,-7.530846041465787,-9.558020926481284,-6.610689417699467,-8.371715018102005,-8.686367392840992,-8.218263667737176,-4.020306585368686,-5.018595903931459,-3.94140210100056,-4.738272768151946,-5.598829391240873,-9.688735970440774,-9.812695368431354,-7.056822328757446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8736.924264104375,8638.837661548347,8530.788915454405,9209.018516211348,9592.91903439753,8310.545604700626,10396.464969259392,9091.393380600839,7645.502008288015,7949.758389103931,8140.25862477338,8085.460873191878,8453.412412854666,8625.69759070085,10714.805030258114,9759.285196949086,6472.847348708327,6446.460757126792,6359.559568805918,6385.9556119811305,6663.615984355383,8242.664866233601,9420.56319092224,8080.842795864671,24.348947997895987,23.765097900080008,22.341076679103733,25.504526340134202,27.541177837549387,18.343835615562963,30.681464424920268,23.20397315031811,18.134312688619946,20.705352046676055,19.767844484557177,18.806643100373,21.328037753589705,20.096739330630186,30.266047533230275,26.590567144255726,10.800431703241276,10.634280983716875,10.574361431928843,10.800953242899693,11.834450353261717,19.584385583670148,23.881717716877745,16.588843296892136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,emg_gestures,54.0,repeats_short,2018-05-11 14:05:34.118,0.0,98.23468180965905,0.0
99.44021356472288,5.149842224048897,5.132814374444581,5.028498998365532,5.388442006068913,5.545915696952526,4.413268745724998,5.766279805464232,4.949338940675677,4.480710401740731,4.798866551067713,4.754637998044009,4.623593469893206,4.892155155901285,4.716173069612161,5.850163432812476,5.287394912376036,3.4609964175744588,3.431954287139791,3.4242168683298706,3.465913576466019,3.5631321933243107,4.314091494236019,4.840511540006838,4.288229787112317,3.6305977990149256,3.6209566566452582,3.603141228707604,3.8702806749649064,3.989776265026832,3.4677839114620816,4.343374376075038,3.72030111664296,3.2175709156260384,3.367710889138188,3.448853468626314,3.3831180047823204,3.5995219469356794,3.6677956180911684,4.606920559085823,4.011022029994665,2.7609018349706327,2.754605999195746,2.7044609283126264,2.73255417691451,2.79586604185084,3.352591174699243,3.792740132732554,3.471042655601893,6.193702833275596,7.3849775262084405,6.437128365397869,6.915283024144685,8.428953045045859,5.773628760315146,4.752987833851332,5.514962854182531,4.709052947292243,6.524228204620521,5.659670103345471,5.9903096648889,5.426705689407225,5.281742798060215,6.621885726320201,9.758807123676853,1.906633885363088,1.5100680863348828,2.4009378531946792,3.2905564940305605,1.7590631803897723,1.5915062259641992,1.4473385337939706,-0.47963395362632166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9076.494497537315,9052.391641613145,9007.85307176901,9675.701687412266,9974.44066256708,8669.459778655204,10858.435940187594,9300.7527916074,8043.9272890650955,8419.27722284547,8622.133671565785,8457.7950119558,8998.804867339199,9169.489045227921,11517.301397714557,10027.555074986662,6902.254587426582,6886.514997989365,6761.152320781566,6831.385442286275,6989.6651046271,8381.477936748108,9481.850331831385,8677.606639004733,26.52079501519581,26.345567217856903,25.28500805091734,29.034635504084516,30.756729077967123,19.476601842953972,33.24997981002108,24.495736162059398,20.076484094125775,23.028680118644242,22.606192851524927,21.377182905411754,23.93281004787729,22.24169916428784,34.22421299494661,27.956487061572624,11.978155269642144,11.777877536495863,11.724663091166423,12.012324967792278,12.695374046351759,18.61085128347569,23.429669033448565,18.388613510949245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,emg_gestures,54.0,repeats_short,2018-05-11 14:05:34.118,0.0,98.47862748357875,0.0
99.6841592386426,5.097875069265618,5.045533004227659,4.912680637804554,5.274291060457776,5.476894870605474,4.2949070752129135,5.555182444395027,4.963930520163456,4.416103177608763,4.711015910209134,4.68299888710011,4.524197627195176,4.8192883579155215,4.555903456498819,5.422833755571219,5.161920832266008,3.4267854892627767,3.32596869975109,3.289299786687729,3.3316713556845636,3.351370696521664,3.7638791049751763,4.087749305060185,3.915182215871183,3.5156774497810477,3.487531248716042,3.459029952673681,3.7015961961558643,3.851897381348652,3.3093109067257704,4.044242191419746,3.6079028857121584,3.064834926972548,3.240109968656252,3.289600242037288,3.2166883775371944,3.4175805603504457,3.4005638880226527,4.084315913292562,3.734143196111005,2.682447745122761,2.592493412293569,2.5326918765474873,2.5506425111399023,2.5680001624025754,2.8954972575794318,3.1782247718570353,3.0676505120584983,7.767978972331486,9.609045068689275,9.85722771302207,7.175972781873661,6.4920205840031695,6.796612253981818,11.333063416308992,8.905434709967771,7.672584966157812,8.495791966048461,5.954684193981942,6.555597713354544,4.911023033727837,5.624107794033977,6.307742561626126,8.719737500776066,5.717433088235234,6.21150846387246,4.772347464813157,5.008654005581219,3.88891912946197,3.0687713518406534,6.624758040922012,4.887367061758018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8789.193624452619,8718.828121790106,8647.574881684202,9253.99049038966,9629.74345337163,8273.277266814426,10110.605478549365,9019.757214280397,7662.087317431369,8100.27492164063,8224.00060509322,8041.720943842986,8543.951400876114,8501.409720056632,10210.789783231405,9335.357990277513,6706.119362806903,6481.2335307339235,6331.729691368719,6376.606277849755,6420.000406006438,7238.743143948579,7945.561929642588,7669.126280146245,25.985051772288426,25.454854734353702,24.132680832201128,27.816797454377006,29.994901363061548,18.445010925106047,30.858388876148847,24.637762084650642,19.499380671490723,22.190976813904058,21.92801464760027,20.466244392616115,23.22261424201283,20.754301491628848,29.40463681160221,26.64238675708422,11.739691789203313,11.059788634864729,10.816431231026984,11.097484458276321,11.22940370484788,14.16487045207204,16.70878373236464,15.327114413041523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,emg_gestures,54.0,repeats_short,2018-05-11 14:05:34.118,0.0,98.72257315749846,0.0
99.92810491256229,4.686988598868104,4.596157306125588,4.4728320455754895,4.737680075893136,4.945811129953814,4.121735650396615,6.048006922507594,5.000076411910591,4.012797773042295,4.272030282496646,4.283293052054834,4.121509419704515,4.385110919494298,4.269953255682227,5.538157187415984,4.785783487806394,3.303683093902217,3.263403306325918,3.1724595330278906,3.1863754078121937,3.184156397275799,3.4255513314966843,3.623998167930168,3.5215666321021266,3.461722333448622,3.391655782014425,3.3528791510165785,3.5619627109980225,3.718377999688481,3.271213018700736,4.561615688087697,3.8354789131617713,2.973630409913388,3.1546735968010107,3.2125385796477928,3.1279550491237744,3.2703850124734557,3.2888826741645336,4.166783001631778,3.5937721964506366,2.631974372194361,2.5982141421913125,2.5067973544248363,2.494451369130082,2.4959101234759022,2.68499677962163,2.8666844701585315,2.75691502220568,-0.5676570269435999,-2.636567202958309,-1.454450756421033,-1.696745893032661,-0.10370807412729732,1.8257492424252648,3.4099338484193567,1.487459373255776,-1.0798466438692467,-3.1026862648550715,-0.9775732573894667,-2.1914104039769384,0.8603287788173715,1.6528191564513475,4.196735597041518,2.731767584072167,1.1948671585879644,1.8017059825268626,0.6782387764818054,1.4866271336264045,2.1589671175814438,2.389862651727547,1.1948482703488166,1.1624995059166032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8654.305833621554,8479.139455036062,8382.197877541446,8904.906777495056,9295.944999221203,8178.03254675184,11404.039220219242,9588.697282904428,7434.0760247834705,7886.683992002527,8031.346449119482,7819.887622809436,8175.962531183639,8222.206685411335,10416.957504079444,8984.430491126592,6579.935930485903,6495.535355478281,6266.993386062091,6236.128422825204,6239.775308689756,6712.491949054075,7166.711175396328,6892.287555514201,21.96711111988735,21.12399949161768,20.005716195977392,22.445010024110395,24.46022684652327,16.987843077928247,36.57468726561459,24.99730911674247,16.102459538526276,18.250007499049524,18.34612101353003,16.986450137848685,19.228555907157443,18.23202911018606,30.6703028398884,22.901778292717832,10.914286570019787,10.649772815204779,10.064488226159591,10.152911763536823,10.13885018150523,11.734400044195581,13.133258216533124,12.401271467339471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,emg_gestures,54.0,repeats_short,2018-05-11 14:05:34.118,0.0,98.96651883141816,0.0
100.172050586482,11.391975964720153,10.264625417846995,10.28611179242482,11.244229300212409,13.744419310367894,33.37814097842887,61.14770807140058,30.350322671867602,12.388234688589083,10.273418486643704,10.36748522032936,10.982621746486883,19.024357814425407,35.62280276561506,68.64577278564106,43.8260775882502,11.123414874010992,9.735331340107319,10.388494657973734,11.855906213909439,16.51891506271368,28.079325074236788,32.292620641987895,26.660103409167153,7.2406538939254705,6.697980584948876,6.659027103059747,7.188993726806391,8.502473912692508,16.134029089043413,29.209543858288836,15.589112801665003,7.504018506134994,6.676250612391776,6.7247285001256065,7.024518409802765,10.663586442127944,17.403953611125548,32.430259943937926,20.855672558425756,6.680048444801896,6.160218683957112,6.4177659501017645,7.110985947285494,9.229744037484235,14.076627207603797,15.948844236505273,13.900690860626899,-11.334429792555717,-9.805408195544297,-9.69995717433825,-5.912550955901121,-10.306538940382033,-14.492948612577427,-106.48660997396998,-45.087826292836205,-15.432341501999478,-12.447652616216315,-10.793148073323731,-13.05458467702309,-22.891839510217164,-7.735100787772437,2.850397371176216,-22.3100587443488,-16.37914663049229,-14.866365712376972,-19.422816558695697,-23.463545146073788,-34.24086573311096,-30.881907426271145,-19.722438503949114,-18.464960270928586,5,5,5,6,10,11,23,13,6,7,8,8,10,18,22,21,6,6,6,4,11,18,18,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,18101.634734813677,16744.95146237219,16647.56775764937,17972.484317015977,21256.18478173127,40335.07272260853,73023.85964572208,38972.78200416251,18760.046265337485,16690.62653097944,16811.821250314017,17561.29602450691,26658.966105319858,43509.88402781387,81075.64985984482,52139.181396064385,16700.12111200474,15400.54670989278,16044.414875254412,17777.464868213734,23074.360093710588,35191.56801900949,39872.11059126318,34751.72715156725,129.77652769615474,105.36135422053192,105.8033276427987,126.43265297183525,188.90741378772196,1113.9862573953203,3738.7569253906586,921.1268980807058,153.46737116915338,105.54291087233294,107.4845586214362,120.61703308814396,361.9208212473925,1268.9500773334332,4712.108961634557,1920.7087179177952,123.72750003112675,94.7751607373728,107.91881654427506,140.5610264672537,272.86892018458235,788.4477432987326,1042.7952158096182,710.734723724249,2,0,0,0,2,44,98,47,2,0,0,0,8,69,143,68,0,0,0,0,0,36,59,35,3.0,emg_gestures,54.0,repeats_short,2018-05-11 14:05:34.118,0.0,99.21046450533787,0.0
100.4159962604017,16.795233392889966,14.931538263024503,14.63521597123919,15.652273532736631,18.79190435585565,46.26676076734472,77.12275211002469,38.03122861601445,17.885739537677736,14.698385750226715,14.247773315172951,14.75958389456242,24.62338689282498,45.41138323242033,83.17398629352549,51.05556942162862,16.264773563651442,13.831097257877753,13.67835493754562,15.137325263922907,21.444982507317786,38.116848944127966,41.16062094825238,33.490328538436266,12.524386990332156,11.234516209781939,10.960917740607316,11.581866450818382,13.853564269224892,31.968888443262525,51.25850915944576,26.628076576017612,13.180498212766057,11.043020696492528,10.670531099010523,11.006261387238515,17.527004424144728,29.88260262646519,54.697850641292604,33.81746319534411,11.836138329705506,10.277949345115726,10.08844254308451,11.073566917690956,15.157596898558404,26.51853661160327,28.418881710094492,23.803902696899655,4.1753821693489055,-0.7250767386787516,-1.6490412634132223,-1.818992444287054,2.195715355802921,10.442464706458596,1.9139381648035823,13.949955545589674,4.622247791285449,2.1436595075151352,-1.7807943254700458,-2.443140773058131,-6.878232962378679,8.795322416539204,48.88234759154852,52.2556170788598,0.7577873607990444,-2.2560427973464137,-4.6436511785934815,-6.9270408302335404,-18.69429842690229,-34.435895658016705,-26.164023047103854,-14.479681666851395,20,13,13,14,22,41,65,37,22,18,16,15,26,42,63,48,23,13,9,11,24,50,50,40,0,0,0,0,0,1,18,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,31310.967475830388,28086.290524454846,27402.294351518292,28954.66612704595,34633.91067306223,79922.22110815631,128146.27289861439,66570.19144004403,32951.24553191514,27607.55174123132,26676.327747526306,27515.653468096287,43817.51106036182,74706.50656616298,136744.6266032315,84543.65798836028,29590.345824263764,25694.873362789316,25221.106357711273,27683.917294227387,37893.99224639601,66296.34152900818,71047.20427523623,59509.756742249134,282.0770505972152,222.9500210288157,214.18923827371765,244.993558023397,353.1354699699177,2140.6121163920434,5947.913788387072,1446.3724311529666,319.88871646056305,216.0404079071779,202.99769225875912,217.84317128080352,606.2878219725235,2062.1387430357577,6917.705804830341,2606.5763312858976,264.53050609775556,191.2939457213768,187.0934104373502,229.13368689344424,459.8786824133711,1452.8541189896616,1694.1450352443296,1121.5052029781573,14,11,11,13,16,122,303,109,11,9,7,3,26,133,317,130,6,5,1,0,6,77,146,76,3.0,emg_gestures,54.0,repeats_short,2018-05-11 14:05:34.118,3.0,99.45441017925756,3.0
100.65994193432141,16.63760465410259,14.925256901115892,14.457061140949568,15.002551519343724,17.575418857330597,43.10985447599193,60.1369987480853,30.97354505576488,16.66700212089523,14.193972284900564,13.483822628946031,13.566401182081641,21.026990955064832,36.13769482059082,60.99683472569814,34.737853931700386,15.119788648252749,12.802892582644299,11.930032034814344,12.767627063700383,18.766945140259732,35.17315161099338,33.21754975161421,25.895359186369753,13.005168935929998,11.68361053050725,11.305581530827448,11.606227501324204,13.612013197342048,33.698893902558275,45.33922374296666,24.501066653953448,12.984725952294358,10.999342232451731,10.43927431745239,10.48235022509649,16.410238505008852,26.91992570794388,45.82035275550471,27.479865376922127,11.556552688843308,9.806407658578287,9.15166714182554,9.855863886896897,14.554278639808397,27.040336973623507,25.722481628629776,20.51996132080838,-5.273741535944721,-4.160924094495803,-4.616128063313278,-10.66389951705013,-30.461015596374956,-52.728440182121986,43.25898938887969,21.29078319958004,-3.5988314153823833,-1.375041806221521,-5.453483008069091,-6.574572578601394,-15.720013689283018,-55.4516502610208,-95.5427210928966,-38.67952465545687,1.5218536410442933,-0.006215118353578575,6.60090991515232,10.311639857021724,26.888239225148197,38.236471139830805,22.36691199180045,2.750164958414665,23,13,13,13,20,62,82,51,19,13,9,9,31,54,78,56,19,9,2,6,20,59,61,52,0,0,0,0,0,2,30,0,0,0,0,0,0,0,14,0,0,0,0,0,0,1,1,0,32512.922339824992,29209.026326268126,28263.95382706862,29015.568753310512,34030.03299335512,84247.23475639569,113348.05935741664,61252.66663488362,32461.814880735896,27498.355581129326,26098.18579363098,26205.875562741225,41025.59626252213,67299.8142698597,114550.88188876177,68699.66344230532,28891.381722108268,24516.019146445717,22879.16785456385,24639.65971724224,36385.69659952099,67600.84243405877,64306.20407157444,51299.90330202095,276.79069179507906,222.74321892398746,208.98769684863498,225.06453836237128,308.89065085783,1858.3895172299437,3616.164859304733,959.3604100460332,277.7861597676234,201.45765456171944,181.80884599790585,184.04444189918235,442.13349093673247,1305.9063250933268,3720.288772167553,1206.6595681592903,228.60799344586363,163.91389045718174,142.32561155980147,163.0122920228628,352.1923451979233,1237.1499299972063,1103.3676864789984,670.5022639090173,14,13,14,18,24,145,388,117,9,10,9,5,32,127,341,106,6,5,1,0,6,87,161,59,3.0,emg_gestures,54.0,repeats_short,2018-05-11 14:05:34.118,3.0,99.69835585317728,3.0
